name,time,link,image,ingredient,Unnamed: 6
Instant Oats Dosa,15,https://food.ndtv.com/recipe-instant-oats-dosa-956389,https://c.ndtvimg.com/2021-12/fvflpc8_dosa_240x180_17_December_21.jpg,"rolledoats, sooji, riceflour, fenugreekseeds, salt, asafoetida, blackpepper, curryleaves, gingergrated, greenchillies, coriander, onion, oil",15
Chilli Idli,20,https://food.ndtv.com/recipe-chilli-idli-956384,https://c.ndtvimg.com/2021-07/1e7m393_idli-tikka_240x180_02_July_21.jpg,"idli, onion, capsicum, greenchillies, gingergarlicpaste, garlic, blackpepper, salt, redchillisauce, soyasauce, vinegar, cornstarch, maida, oilasrequired",20
Chicken Mayo Roll,15,https://food.ndtv.com/recipe-chicken-mayo-roll-recipe-956373,https://c.ndtvimg.com/2021-12/ket9amk_fish-roll_240x180_30_December_21.jpg,"bonelesschicken, curd, redchillipowder, corianderpowder, turmericpowder, chaatmasala, salttotaste, gingergarlicpaste, oil, mayonnaise, onions, choppedgarlic, chilliflakes, oregano, wheatflour, refinedflour",15
Tandoori Bharwan Capsicum,15,https://food.ndtv.com/recipe-tandoori-bharwan-capsicum-956357,https://c.ndtvimg.com/2022-01/3g8sj3uo_bharwan-capsicum-omelette_120x90_07_January_22.jpg,"capsicums, onion, mashedpotatoes, paneer, crushedpeanuts, gingergarlicpaste, redchillipowder, chaatmasala, cuminpowder, corianderpowder, salt",15
Tandoori Nazakat Aloo,25,https://food.ndtv.com/recipe-tandoori-nazakat-aloo-956356,https://c.ndtvimg.com/2022-01/0s3hpoq_tandoori-nazakat-aloo_120x90_20_January_22.jpg,"potatoes, paneer, cashewnuts, choppedfried, raisins, afewsprigsfreshcorianderleaves, afewsprigsfreshmintleaves, salt, redchillipowder, greenchillipaste, ginger, chaatmasala, garammasalapowder, hungyogurt, garlicpaste, gingerpaste, roastedchanadalpowder, turmericpowder, cuminseeds, kasoorimethipowder",25
Goan Chicken Rava Fry,20,https://food.ndtv.com/recipe-goan-chicken-rava-fry-956345,https://c.ndtvimg.com/2022-01/r80fhco8_chicken-goan-fry_120x90_18_January_22.jpg,"dahi, redchilli, blackpepper, greencardamom, ginger-garlicpaste, lemonjuice, chickenpieces, rava",20
Garlic Butter Chicken,20,https://food.ndtv.com/recipe-garlic-butter-chicken-956344,https://c.ndtvimg.com/2022-01/6euncfa_garlic-butter-chicken_120x90_18_January_22.jpg,"bonelesschickenpieces, egg, mincedgarlic, butter, onion, blackpepperpowder, saltaccordingtotaste, cornflourpowder, all-purposeflour, springonionchopped, italianseasoning",20
Chicken Boti Kebab,20,https://food.ndtv.com/recipe-chicken-boti-kebab-956343,https://c.ndtvimg.com/2022-01/893a34io_chicken-boti-kebab_120x90_18_January_22.jpg,"bonelesschicken, hungcurd, ginger-garlicpaste, garammasala, nutmeg, cuminpowder, corianderpowder, besan, mustardoil, kashmiriredchilipowder, blacksalt, saltasrequired, cookingoil",20
Whole Wheat Chicken Momo ,15,https://food.ndtv.com/recipe-whole-wheat-chicken-momo-956338,https://c.ndtvimg.com/2020-07/spmv3tm8_momos_120x90_02_July_20.jpg,"atta, oil, mincedchicken, mincedonion, mincedginger, mincedcorianderleaves, butter, saltaccordingtotaste",15
Chicken Hara Bhara Kebab,15,https://food.ndtv.com/recipe-chicken-hara-bhara-kebab-956328,https://c.ndtvimg.com/2022-01/t2iuu6go_hara-bhara-kebab_120x90_13_January_22.jpg,"mincedchicken, onion, chopped, spinach, peas, boiledpotatoes, ginger-garlicpaste, turmericpowder, greenchillies, salttotaste, redchillipowdertotaste, chaatmasala, garammasala, cuminpowder, riceflour",15
Paneer Bhurji Sandwich,10,https://food.ndtv.com/recipe-paneer-bhurji-sandwich-956321,https://c.ndtvimg.com/2022-01/a0qchfhg_paneer-bhurji-sandwich_120x90_13_January_22.jpg,"bread, butter, oil, cuminseeds, gratedgarlic, salt, turmeric, redchillipowder, garammasala, drymangopowder, onion, tomato, paneer, crumbled",10
Allam Kodi Wings Roast,15,https://food.ndtv.com/recipe-allam-kodi-wings-roast-956308,https://c.ndtvimg.com/2022-01/n45p2iq_allam-kodi-wings-roast_120x90_11_January_22.jpg,"chickenwings, chillipowder, chillies, turmericpowder, salt-totaste, gingergarlicpaste, garammasala, oil, onionschopped, choppedgarlic, choppedginger, mangochilipowder",15
Tandoori Chaap,15,https://food.ndtv.com/recipe-tandoori-chaap-956300,https://c.ndtvimg.com/2022-01/kjtachh8_tandoori-chaap_120x90_10_January_22.jpg,"curd, ginger-garlicpaste, redchillipowder, turmericpowder, tandoorimasala, chaatmasala, blackpepper, salt, garammasala, kasurimethi, butter, freshcream, lemonjuice",15
Bharwan Capsicum Omelette,10,https://food.ndtv.com/recipe-bharwan-capsicum-omelette-956293,https://c.ndtvimg.com/2022-01/3g8sj3uo_bharwan-capsicum-omelette_120x90_07_January_22.jpg,"egg, capsicum, blackpepper, redchillipowder, choppedonion, tomato, saltaspertaste, cheese",10
Bajra Raab,10,https://food.ndtv.com/recipe-bajra-raab-956283,https://i.ndtvimg.com/i/2018-05/shrikhand_240x180_51525776959.jpeg,"jaggery, milk, bajraflour, ghee, gingerpowder, elaichipowder",10
Homemade Veg Grilled Sandwich,10,https://food.ndtv.com/recipe-homemade-veg-grilled-sandwich-956277,https://c.ndtvimg.com/2021-08/b0jionjg_paneer-sandwich_240x180_03_August_21.jpg,"onion, boiledpotato, capsicum, cucumber, carrot, paneer, cheeseslices, mayonnaise, salt, blackpepperpowder, tomatosauce",10
Fish Kathi Roll,15,https://food.ndtv.com/recipe-fish-kathi-roll-956257,https://c.ndtvimg.com/2020-01/emt0nn18_kathi-roll_120x90_17_January_20.jpg,"chapatis, forthefilling:, bonelessfish, oil, thinlyslicedonion, crushedgarlic, choppedtomato, cuminpowder, corianderpowder, chillipowder, garammasala, salttotaste, chatmasalamix, toassemble:, egg, thinlyslicedredonions, thinlyslicedcarrots, thinlyslicedcabbage, thinlyslicedredoryellowpeppers, choppedgreenchillies, choppedcorianderleaves",15
Chilli Garlic Prawns,15,https://food.ndtv.com/recipe-chilli-garlic-prawns-956255,https://c.ndtvimg.com/2021-12/g80jfndo_chilli-garlic-prawn_120x90_29_December_21.jpg,"cornflour, allpurposeflour, garlicpaste, gingerpaste, soyasauce, blackpepper, egg, prawns, oil, , forsauce, oil, mincedgarlic, mincedginger, springonions, sliced, greenchillies, capsicum, blackpepper, soyasauce, chillisauce, water, vinegar",15
Tandoori Chicken Sandwich,10,https://food.ndtv.com/recipe-tandoori-chicken-sandwich-956241,https://c.ndtvimg.com/2021-12/2h28c21_tandoori-chicken-sandwich_120x90_27_December_21.jpg,"chickenpieces, curd, redchillipowder, blackpepper, ginger-garlicpaste, garammasala, saltaspertaste, slicedonion, slicedtomato, slicedcapsicum, barbecuesauce, mustardsauce, hotsauce",10
Chilli Chaap,15,https://food.ndtv.com/recipe-chilli-chaap-956208,https://c.ndtvimg.com/2021-12/jjesn6ho_chilli-chaap_120x90_22_December_21.jpg,"soyachaap, ginger-garlicpaste, dryredchilli, choppedonion, choppedcapsicum, soyasauce, redchillisauce, schezwansauce, vinegar",15
Achaari Fish Tikka,20,https://food.ndtv.com/recipe-achaari-fish-tikka-956192,https://c.ndtvimg.com/2020-01/jdq3a808_tikka_240x180_29_January_20.jpg,"curd, redchillipowder, garammasala, corianderpowder, haldi, jeerapowder, gingerpaste, garlicpaste, lemonjuice, picklemasala, oil, salttotaste",20
Mutton Spring Roll,15,https://food.ndtv.com/recipe-mutton-spring-roll-956185,https://c.ndtvimg.com/2020-07/8qt1ij4o_spring-rolls_120x90_13_July_20.jpg,"maida, salt, oil, waterasrequired, mincedmutton, onions, blackpepperpowder, soysauce, ketchup, garlic, ginger, saltasrequired",15
Chicken Garlic Bread,10,https://food.ndtv.com/recipe-chicken-garlic-bread-956183,https://c.ndtvimg.com/2021-06/vd7158no_garlic-bread-240_240x180_17_June_21.jpg,"boiledandshreddedchicken, garlic, baguetteslices, butter, roomtemperature, freshparsley, alargepinchofcrushedblackpeppercorns, driedredchilliflakes+forsprinkling, alargepinchofsalt, processedcheese, mozzarellacheese, freshparsleysprigsforgarnish",10
Schezwan Dosa,15,https://food.ndtv.com/recipe-schezwan-dosa-956177,https://c.ndtvimg.com/2021-12/ic1lg5t8_schezwan-dosa_120x90_16_December_21.jpg,"noodles, cabbage, carrot, capsicum, frenchbeans, ginger, garlic, greenchillies, springoniongreens, soysauce, schezwansauce, ricevinegar, tomatoketchup, blackpepperpowder, salttotaste, vegetable",15
Atta Dosa,10,https://food.ndtv.com/recipe-atta-dosa-956176,https://c.ndtvimg.com/2021-11/88nkn5qg_lauki-dosa_120x90_24_November_21.jpg,"wheatflour, riceflour, saltaspertaste, greenchillies, jeera, curryleaves",10
Andhra Style Chicken Fry,20,https://food.ndtv.com/recipe-andhra-style-chicken-fry-956164,https://c.ndtvimg.com/2021-12/dtomqkn_chicken_240x180_02_December_21.jpg,"chicken, curryleaves, cinnamon, lemonjuice, blackpepper, ghee, fennelseeds, greenchillies, onion, corianderpowder, cashews, cloves, turmeric, gingergarlicpaste, redchilli, curd, corianderleaves",20
Dal Farra,25,https://food.ndtv.com/recipe-dal-farra-956138,https://c.ndtvimg.com/2021-12/0u12ddr_dal-farra_120x90_09_December_21.jpg,"riceflour, uraddal, chanadal, matardal, cuminseeds, halid, garammasala, garlic, greenchillies, mustardseeds, curryleaves, hing, redchillipowder, saltaccordingtotaste",25
Sooji Manchurian,15,https://food.ndtv.com/recipe-sooji-manchurian-956126,https://c.ndtvimg.com/2021-08/510qskd_veg-manchurian_240x180_15_August_21.jpg,"semolina, curd, choppedginger, choppedgarlic, choppedgreenchillies, cabbage, carrot, capsicum, onion, capsicum, chilisauce, tomatoketchup, mixedherbs, soyasauce",15
Oats Dahi Masala,15,https://food.ndtv.com/recipe-oats-dahi-masala-956121,https://c.ndtvimg.com/2021-12/q6dgv9dg_oats-dahi-masala_120x90_07_December_21.jpg,"oats, curd, choppedonion, choppedtomato, choppedcarrot, choppedcucumber, redchillipowder, blackpepper, saltaspertaste, mustardseeds, cuminseeds, curryleaves, dryredchilli",15
Egg Samosa,15,https://food.ndtv.com/recipe-egg-samosa-956117,https://c.ndtvimg.com/2021-02/pdpv4b18_samosa_240x180_12_February_21.jpg,"eggs, gratedpotato, choppedgreenchillies, bakingpowder, saltasrequired, finelychoppedonion, onionseeds, corianderleaves, allpurposeflour, refinedoil",15
Pahadi Kebab,15,https://food.ndtv.com/recipe-pahadi-kebab-956112,https://c.ndtvimg.com/2021-09/rj5i60eg_kebab_240x180_21_September_21.jpg,"bonelesschickenchunks, choppedcoriander, choppedmintleaves, choppedginger-garlic, greenchillies, blackpeppercorns, lemonjuice, saltaccordingtotaste, curd, ghee, chaatmasala",15
Moong Dal Handvo,15,https://food.ndtv.com/recipe-moong-dal-handvo-956103,https://c.ndtvimg.com/2020-09/47vhsn4_handvo_240x180_01_September_20.jpg,"moongdal, ginger, garlic, semolina, besan, greenchillies, fruitsalt, curryleaves, mustardseeds, pinchofheeng",15
Butter Chicken Pasta,20,https://food.ndtv.com/recipe-butter-chicken-pasta-956092,https://c.ndtvimg.com/2021-12/3ilhfck_pasta_120x90_02_December_21.jpg,"bonelessskinlesschickenthighs, cutintobitesizepieces, plainyogurt, lemonjuice, corianderpowder, cayennepepperpowder, salt, turmericpowder, orangefoodcolor, optional, vegetableoil, butter, cuminseeds, finelychoppedonion, garlic, ginger, salt, kasurimethi, corianderpowder, cayennepepperpowder, garammasalapowder, tomatosauce, powderedcashew, pennepasta, cooked",20
Chicken Majestic,15,https://food.ndtv.com/recipe-chicken-majestic-956087,https://c.ndtvimg.com/2021-12/7crnn7k8_chicken-majestic_120x90_01_December_21.jpg,"marination:, bonelesschicken, buttermilk, cornflour, ginger-garlicpaste, turmericpowder, redchillipowder, sauce:, oil, garlicchopped, greenchillies, curryleaves, handfulmintleaves, soyasauce, redchilli, garammasala, yogurt",15
Andhra Style Beans Kudumulu,20,https://food.ndtv.com/recipe-andhra-style-beans-kudumulu-956085,https://c.ndtvimg.com/2021-12/of949sgg_andhra-style-beans-kudumulu_120x90_01_December_21.jpg,"choppedbroadbeans, onion, greenchillies, garlic, mediumgingerpiece, mustardseeds, choppedcorianderleaves, riceflour, saltaccordingtotaste",20
Honey Chicken,15,https://food.ndtv.com/recipe-honey-chicken-956078,https://c.ndtvimg.com/2020-07/j1u0o888_chicken-wings_240x180_25_July_20.jpg,"bonelesschicken, honey, butter, salt, blackpepper, gingergarlicpaste",15
Soya Idli,20,https://food.ndtv.com/recipe-soya-idli-956063,https://c.ndtvimg.com/2021-10/hp0748rg_idli_240x180_13_October_21.jpg,"soyabean, whiteuraddal, fenugreekseeds, idlirice, chanadal, salt",20
Egg Tikka,15,https://food.ndtv.com/recipe-egg-tikka-956059,https://c.ndtvimg.com/2021-09/pklbc2sg_egg-tandoori_240x180_02_September_21.png,"boiledeggs, hungcurd, butter, gingergarlicpaste, redchillipowder, garammasala, salt, lemonjuice, besan, kasoorimethi, besan, mustardoil",15
Lauki Dosa,15,https://food.ndtv.com/recipe-lauki-dosa-956034,https://c.ndtvimg.com/2021-11/88nkn5qg_lauki-dosa_120x90_24_November_21.jpg,"lauki, riceflour, sooji, salt, greenchillies",15
Aloo Ke Chapli Kebab,15,https://food.ndtv.com/recipe-aloo-ke-chapli-kebab-956009,https://c.ndtvimg.com/2021-10/8c330jvg_kebab_240x180_06_October_21.jpg,"boiledpotatoes, redchillipowder, jeerapowder, amchurpowder, finelychoppedonion, breadcrumbs, finelychoppedcoriander, finelychoppedmint, finelychoppedgreenchillies, oil, salt",15
Murmura Poha,15,https://food.ndtv.com/recipe-murmura-poha-956007,https://c.ndtvimg.com/2021-09/bm2od4i_poha_240x180_03_September_21.jpg,"murmura, choppedonion, choppedtomato, turmericpowder, redchillipowder, saltaspertaste",15
Chicken Cheese Sandwich,10,https://food.ndtv.com/recipe-chicken-cheese-sandwich-955993,https://c.ndtvimg.com/2021-10/irife4pg_railway-omelette-sandwich_120x90_27_October_21.jpg,"shreddedchicken, cheesespread, mayonnaise, creamcheese, blackpepper, oregano, salttotaste, bread, garlicpowder",10
Masala Bread,10,https://food.ndtv.com/recipe-masala-bread-955985,https://c.ndtvimg.com/2021-11/kdjd076g_masala-bread_120x90_16_November_21.jpg,"bread, onion, tomato, ginger, garlic, greenchillies, redchilipowder, haldi, saltaccordingtotaste, chaatmasala, corianderleaveschopped",10
Bhungara Batata,15,https://food.ndtv.com/recipe-bhungara-batata-955981,https://c.ndtvimg.com/2021-11/tau8ubt8_bhungara-batata_120x90_16_November_21.jpg,"yellowhollowfryums, babypotatoes, gingergarlicpaste, tomatopuree, onion, cuminseeds, asafoetida, kashmiriredchilipowder, driedredchilipowder, corianderpowder, garammasala, turmericpowder, salt",15
Paneer Shawarma,15,https://food.ndtv.com/recipe-paneer-shawarma-955970,https://c.ndtvimg.com/2021-11/u93r5k8o_paneer-shawarma_120x90_12_November_21.jpg,"paneer, wheatroti, cuminpowder, corianderpowder, garammasala, salt, redchillipowder, mayonnaise, choppedonion",15
Hyderabadi Chicken Fry,20,https://food.ndtv.com/recipe-hyderabadi-chicken-fry-955968,https://i.ndtvimg.com/i/2017-10/fried-chicken_240x180_81509096018.jpg,"chicken, hungcurd, lemonjuice, friedonions, gingergarlicpate, haldipowder, jeerapowder, fennelpowder, redchillipowder, corianderpowder, blackpepper, greenchillies, curryleaves, choppedcoriander, cinnamonstick, staranise, cardamom, cloves, saltaccordingtotaste",20
Urad Dal Vada,10,https://food.ndtv.com/recipe-urad-dal-vada-955953,https://c.ndtvimg.com/2021-11/kmlql2po_urad-dal-vada_120x90_11_November_21.jpg,"soakeduraddal, finelychoppedonion, greenchillies, sooji, salt, oil, redchillipowder",10
Paneer Popcorn,15,https://food.ndtv.com/recipe-paneer-popcorn-955941,https://c.ndtvimg.com/2021-11/9vml8ldo_paneer-popcorn_120x90_10_November_21.jpg,"paneercubes, kashmiriredchilipowder, dryparsley, oregano, blackpepper, salt, besan, ginger-garlicpaste, turmericpowder, bakingsoda, saltasrequired, water, breadcrumbs",15
Tomato Egg Stir-Fry,10,https://food.ndtv.com/recipe-tomato-egg-stir-fry-955913,https://c.ndtvimg.com/2021-11/h10hfqro_tomato-egg-stirfry_120x90_05_November_21.jpg,"eggs, tomato, onion, ginger-garlicpaste, redchillipowder, saltandpepperaspertaste",10
Malai Santra Kebab,15,https://food.ndtv.com/recipe-malai-santra-kebab-955885,https://c.ndtvimg.com/2021-11/qmq3ugso_malai-santra-kebab_120x90_01_November_21.jpg,"hungcurd, paneer, roastedchannapowder, garammasala, greencardamompowder, salt, whitepepperpowder, orangereduction, orangemarmalade, desigheeforcooking",15
Dahi Sandwich,15,https://food.ndtv.com/recipe-dahi-sandwich-955837,https://c.ndtvimg.com/2021-10/7uac3iqg_sandwich_240x180_21_October_21.jpg,"dahi, choppedcucumber, choppedtomatoes, choppedcapsicum, choppedonion, redchillipowder, chaatmasala, salt, pepper",15
Cabbage Cutlet,10,https://food.ndtv.com/recipe-cabbage-cutlet-956410,https://c.ndtvimg.com/2019-12/99l4gg4_cutlet_240x180_13_December_19.jpg,"gratedcabbage, choppedcoriander, choppedgarlic, onion, chaatmasala, redchillipowder, cuminseeds, salt, pepperpowder, cornflour, sooji",10
Bubble Potato Chips,10,https://food.ndtv.com/recipe-bubble-potato-chips-956405,https://c.ndtvimg.com/2022-02/83js75go_chips_120x90_03_February_22.jpg,"potatoes, eggwhite, cornflour, saltasrequired",10
Veg Thukpa Soup,15,https://food.ndtv.com/recipe-veg-thukpa-soup-956393,https://c.ndtvimg.com/2022-01/eqfbs92o_thukpa_120x90_31_January_22.jpg,"anynoodles, beans, choppedcabbage, choppedonion, springonion, vegetablebroth, oil, sweetchillisauce, chillisauce, soyasauce, garammasala, blackpepper, salt, choppedgarlic, choppedcarrot",15
Instant Oats Dosa,15,https://food.ndtv.com/recipe-instant-oats-dosa-956389,https://c.ndtvimg.com/2021-12/fvflpc8_dosa_240x180_17_December_21.jpg,"rolledoats, sooji, riceflour, fenugreekseeds, salt, asafoetida, blackpepper, curryleaves, gingergrated, greenchillies, coriander, onion, oil",15
Chilli Idli,20,https://food.ndtv.com/recipe-chilli-idli-956384,https://c.ndtvimg.com/2021-07/1e7m393_idli-tikka_240x180_02_July_21.jpg,"idli, onion, capsicum, greenchillies, gingergarlicpaste, garlic, blackpepper, salt, redchillisauce, soyasauce, vinegar, cornstarch, maida, oilasrequired",20
Tamatar Feta Cheese Katlama,15,https://food.ndtv.com/recipe-tamatar-feta-cheese-katlama-956377,https://c.ndtvimg.com/2022-01/7rlkhivo_tamatar-feta-cheese-katlama_120x90_25_January_22.jpg,"paneer, fetacheese, tomato, cornflour, roastedchanapowder, greenchillies, greencoriander, ginger, salt, garammasala, butter",15
Sooji Besan Halwa,20,https://food.ndtv.com/recipe-sooji-besan-halwa-956361,https://c.ndtvimg.com/2021-12/t919rp8o_halwa_240x180_23_December_21.jpg,"sooji, ghee, besan, greencardamompowder, sugar, almonds, pistachios, saffron, milk",20
"Tri Colour Ravioli With Goat Cheese, Pumpkin And Sage",20,https://food.ndtv.com/recipe-tri-colour-ravioli-with-goat-cheese-pumpkin-and-sage-956360,https://c.ndtvimg.com/2022-01/hope98io_ravioli_120x90_21_January_22.jpg,"forpastadoughspinach, allpurposeflour, eggs, spinachpuree, oliveoil, salt, forpastadoughcarrot, allpurposeflour, eggs, carrotpuree, oliveoil, salt, forpastadoughwhite, allpurposeflour, eggs, oliveoil, salt, forstuffing, pumpkin, oliveoil, pinenuts, goatcheese, blackpepper, sage, forsauce, confitgarlic, sage, butter, pumpkindiced, toastedpinenuts, parmesancheese",20
Gajar Dhudi Kaju Bites,30,https://food.ndtv.com/recipe-gajar-dhudi-kaju-bites-956359,https://c.ndtvimg.com/2022-01/c1tk4vi_gajar-dhudi-kaju-bites_120x90_21_January_22.jpg,"forgajarhalwa, gratedcarrots, milk, sugar, ghee, cashewnuts, raisins, pistachios, almonds, fordhudihalwa, grateddhudi, sugar, ghee, milk, cardamom, pistachios, almonds, forkajufilling, groundcashewnut, water, sugar, rosewater, cardamompowder, gheeforcooking, gheeforgreasing",30
Tandoori Bharwan Capsicum,15,https://food.ndtv.com/recipe-tandoori-bharwan-capsicum-956357,https://c.ndtvimg.com/2022-01/3g8sj3uo_bharwan-capsicum-omelette_120x90_07_January_22.jpg,"capsicums, onion, mashedpotatoes, paneer, crushedpeanuts, gingergarlicpaste, redchillipowder, chaatmasala, cuminpowder, corianderpowder, salt",15
Paneer Gravy Roll,25,https://food.ndtv.com/recipe-paneer-gravy-roll-956353,https://c.ndtvimg.com/2022-01/elfr9f78_paneer-gravy-roll_120x90_20_January_22.jpg,"paneer, onion, tomato, greenchilly, garliccloves, ginger, wholeredchilli, cloves, cinnamonstick, smallcardamom, chillipowder, corianderpowder, turmeric, garammasala, salt, fenugreek, curd, cream, oil",25
Wild Rocket And Roasted Tomato Pizza,15,https://food.ndtv.com/recipe-wild-rocket-and-roasted-tomato-pizza-956346,https://c.ndtvimg.com/2022-01/454svdr_pizza_120x90_18_January_22.jpg,"pizzabase, pizzasauce, mozzarellacheese, blackolive, rocketleaves, parmesancheeseshavings, slicedbakedtomatoes, oliveoil",15
Corn Poha,10,https://food.ndtv.com/recipe-corn-poha-956342,https://c.ndtvimg.com/2022-01/7d80mf9o_poha_120x90_17_January_22.jpg,"corns, onions, tomatoes, curryleaves, mustardseeds, greenchilli, salttotaste, redchilllipowdertotaste, turmericpowder, corianderleavesforgarnishing",10
Pongal,15,https://food.ndtv.com/recipe-pongal-956340,https://c.ndtvimg.com/2022-01/2amceodg_pongal_120x90_17_January_22.jpg,"idlirice, moongdal, water, greenchillies, cuminseeds, blackpeppercorn, ginger, curryleaves, turmericpowder, asafoetida, ghee, salttotaste",15
Khas Khas And Gud Ki Panjiri,25,https://food.ndtv.com/recipe-khas-khas-and-gud-ki-panjiri-956333,https://c.ndtvimg.com/2022-01/spbo1gdo_panjiri_120x90_14_January_22.jpg,"whitesesameseeds, khaskhasseeds, melonseeds, cashewnuts, almonds, raisins, ghee, greencardamompowder, crushedjaggery, wheatflour",25
Kathal Korma,30,https://food.ndtv.com/recipe-kathal-korma-956324,https://c.ndtvimg.com/2018-12/i0426k6_navratan-korma_120x90_28_December_18.jpg,"jackfruitchunks, almonds, cashewnuts, choppedandfriedcrisponions, curd, ghee, ginger-garlicpaste, corianderpowder, cuminpowder, redchillipowder, turmericpowder, cinnamonstick, bayleaves, greencardamom, blackcardamom, kewra",30
Suji Gulab Jamun,15,https://food.ndtv.com/recipe-suji-gulab-jamun-956322,https://i.ndtvimg.com/i/2017-09/gulab-jamun_190x253_81505468598.jpg,"semolina, ghee, elaichipowder, sugar, oilfordeepfrying, water, milk",15
Sarson Makki Saag,25,https://food.ndtv.com/recipe-sarson-makki-saag-956320,https://c.ndtvimg.com/2022-01/7kt3m4m8_sarson-ka-saag_120x90_13_January_22.jpg,"mustardleaves, bathualeaves, spinach, choppedgreenchillies, choppedgarlic, choppedginger, desighee, someindianmasalas.",25
Til Halwa,20,https://food.ndtv.com/recipe-til-halwa-956316,https://c.ndtvimg.com/2021-12/t919rp8o_halwa_240x180_23_December_21.jpg,"semolina, whitesesameseeds, ghee, choppeddryfruits, powderedsugar, aspertaste, cardamompowder, water, asperneed",20
Madrasi Dosa,15,https://food.ndtv.com/recipe-madrasi-dosa-956313,https://c.ndtvimg.com/2021-11/2up0su2_dosa_240x180_29_November_21.jpg,"rawrice, parboiledrice, turdal, uraddal, methiseeds, poha, chanadal, salttotaste, forpotatomasala, potatoes, onion, greenchillies, ginger, turmericpowder, lemonjuice, salttotaste, oil, forpotatomasala:, mustardseeds, uraddal, redchillies, roastedgramdal, garlic, tamarind, salttotaste, oil, coconut",15
